rank,lemma,english,pos,level,freq_score,freq_tier,register,tokens
1,goed,good,adjective,1,55.8,A,everyday,"['beste', 'beter', 'betere', 'goed', 'goede', 'goederen', 'goedje', 'goeds', 'goeie']"
2,maken,create,verb,1,54.9,A,everyday,"['gemaakt', 'gemaakte', 'maak', 'maakt', 'maakte', 'maakten', 'maken', 'makend', 'makende']"
3,zien,see,verb,1,54.45,A,everyday,"['gezien', 'zag', 'zagen', 'zeiden', 'zie', 'zien', 'ziende', 'ziens', 'ziet']"
4,komen,come,verb,1,53.55,A,everyday,"['gekomen', 'kom', 'kome', 'komen', 'komend', 'komende', 'komt', 'kwam', 'kwamen']"
5,leven,life,noun,1,53.55,A,everyday,"['geleefd', 'leefde', 'leefden', 'leeft', 'leven', 'levend', 'levende', 'levens', 'leventje']"
6,houden,keep,verb,1,51.03,A,everyday,"['gehouden', 'hield', 'hielden', 'hou', 'houd', 'houden', 'houdend', 'houdende', 'houdt']"
7,doen,do,verb,1,49.04,A,everyday,"['deden', 'deed', 'doe', 'doen', 'doende', 'doet', 'gedaan', 'gedane']"
8,oud,old,adjective,1,48.06,A,everyday,"['oud', 'oude', 'ouden', 'ouder', 'oudere', 'ouderen', 'oudje', 'oudjes', 'oudste']"
9,willen,want,verb,1,46.48,A,everyday,"['gewild', 'wil', 'wilde', 'wilden', 'willen', 'willens', 'wilt', 'wou']"
10,blijven,stay,verb,1,45.28,A,everyday,"['bleef', 'bleven', 'blijf', 'blijft', 'blijven', 'blijvend', 'blijvende', 'gebleven']"
11,denken,thinking,verb,1,44.0,A,everyday,"['dacht', 'dachten', 'denk', 'denken', 'denkend', 'denkende', 'denkt', 'gedacht']"
12,veel,lot,pronoun,1,43.82,A,everyday,"['meer', 'meest', 'meeste', 'veel', 'veels', 'vele', 'velen']"
13,gaan,go,verb,1,43.26,A,everyday,"['ga', 'gaan', 'gaande', 'gaat', 'gegaan', 'ging', 'gingen']"
14,klein,small,adjective,1,42.4,A,everyday,"['klein', 'kleine', 'kleiner', 'kleinere', 'kleins', 'kleinst', 'kleinste', 'kleintje']"
15,volgen,follow,verb,1,42.16,A,everyday,"['gevolgd', 'volg', 'volgde', 'volgden', 'volgen', 'volgend', 'volgende', 'volgt']"
16,leiden,lead,verb,1,41.28,A,everyday,"['geleid', 'geleiden', 'leidde', 'leidden', 'leiden', 'leidend', 'leidende', 'leidt']"
17,wonen,live,verb,1,41.12,A,everyday,"['gewoond', 'wonen', 'wonend', 'wonende', 'woon', 'woonde', 'woonden', 'woont']"
18,slapen,sleep,verb,1,40.48,A,everyday,"['geslapen', 'slaap', 'slaapt', 'slapen', 'slapend', 'slapende', 'sliep', 'sliepen']"
19,geven,give,verb,1,40.25,A,everyday,"['gaf', 'gaven', 'geef', 'geeft', 'gegeven', 'geven', 'gevende']"
20,weten,know,verb,1,40.11,A,everyday,"['weet', 'weten', 'wetend', 'wetende', 'wetens', 'wist', 'wisten']"
21,winnen,win,verb,1,40.0,A,everyday,"['gewonnen', 'win', 'winnen', 'winnend', 'winnende', 'wint', 'won', 'wonnen']"
22,leuk,nice,adjective,1,39.2,A,everyday,"['leuk', 'leuke', 'leuker', 'leukere', 'leuks', 'leukst', 'leukste']"
23,groot,large,adjective,1,39.13,A,everyday,"['groot', 'grootst', 'grootste', 'grote', 'groten', 'groter', 'grotere']"
24,hebben,have,verb,1,38.94,A,everyday,"['gehad', 'had', 'hadden', 'hebbe', 'hebbende', 'hebt']"
25,zitten,sitting,verb,1,38.92,A,everyday,"['gezeten', 'zat', 'zaten', 'zit', 'zitten', 'zittend', 'zittende']"
26,spelen,play,verb,1,38.29,A,everyday,"['gespeeld', 'speelde', 'speelden', 'speelt', 'spelen', 'spelend', 'spelende']"
27,horen,hear,verb,1,37.66,A,everyday,"['gehoord', 'hoorde', 'hoorden', 'hoort', 'horen', 'horende', 'horens']"
28,wachten,wait,verb,1,37.52,A,everyday,"['gewacht', 'wacht', 'wachten', 'wachtend', 'wachtende', 'wachtte', 'wachtten']"
29,lopen,walk,verb,1,37.38,A,everyday,"['gelopen', 'liep', 'liepen', 'loopt', 'lopen', 'lopend', 'lopende']"
30,een,a,determiner,1,37.05,A,everyday,"['een', 'eend', 'eene', 'eenen', 'ene']"
31,betalen,pay,verb,1,36.4,A,everyday,"['betaald', 'betaalde', 'betaalden', 'betaalt', 'betalen', 'betalend', 'betalende']"
32,licht,light,noun,1,35.77,A,everyday,"['licht', 'lichte', 'lichten', 'lichter', 'lichtere', 'lichtjes', 'lichtste']"
33,noemen,name,verb,1,35.56,A,everyday,"['genoemd', 'genoemde', 'noem', 'noemde', 'noemden', 'noemen', 'noemt']"
34,laat,late,verb,1,35.04,A,everyday,"['laatst', 'laatste', 'laatsten', 'late', 'later', 'latere']"
35,vinden,find,verb,1,34.5,A,everyday,"['gevonden', 'vind', 'vinden', 'vindt', 'vond', 'vonden']"
36,krijgen,get,verb,1,34.32,A,everyday,"['gekregen', 'kreeg', 'kregen', 'krijg', 'krijgen', 'krijgt']"
37,staan,stand,verb,1,34.26,A,everyday,"['gestaan', 'staan', 'staande', 'staat', 'stond', 'stonden']"
38,zeggen,say,verb,1,34.26,A,everyday,"['gezegd', 'zeg', 'zegge', 'zeggen', 'zegt', 'zei']"
39,werken,work,verb,1,33.9,A,everyday,"['gewerkt', 'werkend', 'werkende', 'werkt', 'werkte', 'werkten']"
40,nemen,take,verb,1,33.6,A,everyday,"['genomen', 'nam', 'namen', 'neem', 'neemt', 'nemen']"
41,kijken,look,verb,1,33.48,A,everyday,"['gekeken', 'keek', 'kijk', 'kijken', 'kijkend', 'kijkt']"
42,mooi,beautiful,adjective,1,33.48,A,everyday,"['mooi', 'mooie', 'mooier', 'mooiere', 'mooist', 'mooiste']"
43,laag,low,adjective,1,33.39,A,everyday,"['laag', 'laagje', 'laagjes', 'laagst', 'lage', 'lager', 'lagere']"
44,organiseren,organize,verb,1,32.9,A,everyday,"['georganiseerd', 'georganiseerde', 'organiseerde', 'organiseerden', 'organiseert', 'organiseren', 'organiserende']"
45,vechten,fighting,verb,1,32.9,A,everyday,"['gevochten', 'vecht', 'vechten', 'vechtend', 'vechtende', 'vocht', 'vochten']"
46,dienen,should,verb,1,32.83,A,everyday,"['diende', 'dienden', 'dienen', 'dienend', 'dienende', 'dient', 'gediend']"
47,draaien,rotate,verb,1,32.83,A,everyday,"['draaide', 'draaien', 'draaiend', 'draaiende', 'draait', 'gedraaid', 'gedraaide']"
48,sterven,die,verb,1,32.34,A,everyday,"['gestorven', 'sterft', 'sterven', 'stervend', 'stervende', 'stierf', 'stierven']"
49,brengen,bringing,verb,1,32.34,A,everyday,"['bracht', 'brachten', 'breng', 'brengen', 'brengt', 'gebracht']"
50,weinig,little,pronoun,1,32.1,A,everyday,"['minder', 'minst', 'minste', 'weinig', 'weinige', 'weinigen']"
51,belangrijk,important,adjective,1,32.04,A,everyday,"['belangrijk', 'belangrijke', 'belangrijker', 'belangrijkere', 'belangrijkst', 'belangrijkste']"
52,beginnen,start,verb,1,31.98,A,everyday,"['beginnen', 'beginnend', 'beginnende', 'begint', 'begon', 'begonnen']"
53,zoeken,search,verb,1,31.98,A,everyday,"['gezocht', 'zocht', 'zochten', 'zoeken', 'zoekende', 'zoekt']"
54,liggen,lie,verb,1,31.62,A,everyday,"['gelegen', 'lag', 'liggen', 'liggend', 'liggende', 'ligt']"
55,behoren,belong,verb,1,31.57,A,everyday,"['behoord', 'behoorde', 'behoorden', 'behoort', 'behoren', 'behorend', 'behorende']"
56,proberen,try,verb,1,31.44,A,everyday,"['geprobeerd', 'probeer', 'probeerde', 'probeerden', 'probeert', 'proberen']"
57,wagen,audi,noun,1,31.29,A,everyday,"['gewaagd', 'waagde', 'waagden', 'waagt', 'wagen', 'wagens', 'wagentje']"
58,jaar,year,noun,1,31.25,A,everyday,"['jaar', 'jaars', 'jaartje', 'jare', 'jaren']"
59,kort,short,adjective,1,30.96,A,everyday,"['kort', 'korte', 'korten', 'korter', 'kortere', 'kortste']"
60,sterk,strong,adjective,1,30.72,A,everyday,"['sterk', 'sterke', 'sterker', 'sterkere', 'sterkst', 'sterkste']"
61,veranderen,change,verb,1,30.66,A,everyday,"['veranderd', 'veranderde', 'veranderden', 'veranderen', 'veranderende', 'verandert']"
62,vormen,forms,verb,1,30.66,A,everyday,"['gevormd', 'gevormde', 'vormde', 'vormden', 'vormen', 'vormt']"
63,kennen,know,verb,1,30.48,A,everyday,"['gekend', 'ken', 'kende', 'kennen', 'kennende', 'kent']"
64,schrijven,write,verb,1,30.42,A,everyday,"['geschreven', 'schreef', 'schreven', 'schrijft', 'schrijven', 'schrijvende']"
65,voelen,feel,verb,1,30.24,A,everyday,"['gevoeld', 'voel', 'voelde', 'voelden', 'voelen', 'voelt']"
66,spreken,speak,verb,1,30.24,A,everyday,"['gesproken', 'sprak', 'spreekt', 'spreken', 'sprekend', 'sprekende']"
67,jong,young,adjective,1,30.06,A,everyday,"['jong', 'jonge', 'jonger', 'jongere', 'jongeren', 'jongste']"
68,tijd,time,noun,1,29.85,A,everyday,"['tijd', 'tijde', 'tijden', 'tijdje', 'tijds']"
69,begrijpen,understand,verb,1,29.76,A,everyday,"['begreep', 'begrepen', 'begrijp', 'begrijpen', 'begrijpend', 'begrijpt']"
70,terugkeren,return,verb,1,29.68,A,everyday,"['keerde', 'keren', 'teruggekeerd', 'terugkeerde', 'terugkeert', 'terugkeren', 'terugkerende']"
71,kloppen,knocking,verb,1,29.54,A,everyday,"['geklopt', 'kloppen', 'kloppend', 'kloppende', 'klopt', 'klopte', 'klopten']"
72,beschermen,protect,verb,1,29.52,A,everyday,"['beschermd', 'beschermde', 'beschermen', 'beschermend', 'beschermende', 'beschermt']"
73,lijken,corpses,verb,1,29.46,A,everyday,"['gelijken', 'gelijkt', 'leek', 'lijken', 'lijkende', 'lijkt']"
74,laten,leave,verb,1,29.4,A,everyday,"['gelaten', 'laat', 'laten', 'liet', 'lieten']"
75,optreden,occurrence,verb,1,29.34,A,everyday,"['opgetreden', 'optrad', 'optreden', 'optredende', 'optredens', 'optreedt']"
76,verliezen,losses,verb,1,28.98,A,everyday,"['verliest', 'verliezen', 'verliezend', 'verliezende', 'verloor', 'verloren']"
77,reizen,travel,verb,1,28.92,A,everyday,"['gereisd', 'reisde', 'reist', 'reizen', 'reizend', 'reizende']"
78,werk,work,noun,1,28.9,A,everyday,"['werk', 'werke', 'werken', 'werkje', 'werkjes']"
79,drie,three,numeral,1,28.8,A,everyday,"['derde', 'drie', 'dries', 'drietjes', 'drieën']"
80,plaats,location,noun,1,28.7,A,everyday,"['plaats', 'plaatse', 'plaatsen', 'plaatsje', 'plaatsjes']"
81,snel,fast,adjective,1,28.7,A,everyday,"['snel', 'snelle', 'sneller', 'snelst', 'snelste']"
82,deel,part,noun,1,28.65,A,everyday,"['deel', 'deelen', 'deeltje', 'deeltjes', 'delen']"
83,lachen,smile,verb,1,28.56,A,everyday,"['gelachen', 'lachen', 'lachend', 'lachende', 'lacht', 'lachten']"
84,zingen,singing,verb,1,28.56,A,everyday,"['gezongen', 'zingen', 'zingend', 'zingende', 'zingt', 'zong']"
85,vliegen,flies,verb,1,28.44,A,everyday,"['gevlogen', 'vliegen', 'vliegend', 'vliegende', 'vliegt', 'vloog']"
86,lang,long,adjective,1,28.25,A,everyday,"['lang', 'lange', 'langer', 'langere', 'langste']"
87,vragen,questions,noun,1,28.25,A,everyday,"['gevraagd', 'vraagt', 'vragend', 'vroeg', 'vroegen']"
88,ontwikkelen,develop,verb,1,28.14,A,everyday,"['ontwikkeld', 'ontwikkelde', 'ontwikkelden', 'ontwikkelen', 'ontwikkelende', 'ontwikkelt']"
89,arm,arm,adjective,1,28.02,A,everyday,"['arm', 'arme', 'armen', 'armer', 'arms', 'armste']"
90,dood,dead,adjective,1,27.85,A,everyday,"['dode', 'doden', 'dood', 'doods', 'dooie']"
91,groeien,grow,verb,1,27.78,A,everyday,"['gegroeid', 'groeide', 'groeiden', 'groeien', 'groeiende', 'groeit']"
92,duren,last,verb,1,27.72,A,everyday,"['duren', 'durend', 'durende', 'duurde', 'duurt', 'geduurd']"
93,die,that,pronoun,1,27.6,A,everyday,"['die', 'dien', 'diens', 'dies']"
94,starten,start,verb,1,27.6,A,everyday,"['gestart', 'gestarte', 'startend', 'startende', 'startte', 'startten']"
